method,pruning,quant,svd,nonzero_params,total_params,gflops,model_size_mb,accuracy,quant_num
baseline,0.0,none,0.0,11181642,11181642,3.6271,42.7311,87.28,0
pruning,0.3,none,0.0,7830032,11181642,3.6271,42.7304,91.03,0
pruning,0.4,none,0.0,6712829,11181642,3.6271,42.7304,90.89,0
pruning,0.5,none,0.0,5595626,11181642,3.6271,42.7304,90.83,0
pruning,0.6,none,0.0,4478423,11181642,3.6271,42.7304,90.87,0
pruning,0.7,none,0.0,3361220,11181642,3.6271,42.7304,90.72,0
quantization,0.0,fp16,0.0,11181639,11181642,3.6271,21.3273,87.28,1
quantization,0.0,int8,0.0,11176512,11181642,3.6271,42.6399,87.26,2
svd,0.0,none,0.3,11178088,11181642,3.6271,42.7171,81.43,0
svd,0.0,none,0.5,11179132,11181642,3.6271,42.7211,88.62,0
svd,0.0,none,0.7,11180176,11181642,3.6271,42.725,90.05,0
svd,0.0,none,0.9,11181220,11181642,3.6271,42.729,91.01,0
pruning+quantization,0.3,fp16,0.0,7830032,11181642,3.6271,21.3856,91.06,1
pruning+quantization,0.3,int8,0.0,7826087,11181642,3.6271,42.7157,91.03,2
pruning+quantization,0.5,fp16,0.0,5595626,11181642,3.6271,21.3856,90.98,1
pruning+quantization,0.5,int8,0.0,5592614,11181642,3.6271,42.7157,90.98,2
pruning+quantization,0.7,fp16,0.0,3361220,11181642,3.6271,21.3856,90.81,1
pruning+quantization,0.7,int8,0.0,3359390,11181642,3.6271,42.7157,90.77,2
pruning+svd,0.3,none,0.7,11180176,11180176,3.6271,42.7258,90.3,0
pruning+svd,0.5,none,0.5,11179132,11179132,3.6271,42.7219,88.53,0
pruning+svd,0.7,none,0.3,11178088,11178088,3.6271,42.7179,80.59,0
svd+quantization,0.0,fp16,0.7,11180173,11180176,3.6271,21.3245,90.09,1
svd+quantization,0.0,int8,0.7,11176512,11180176,3.6271,42.6385,90.13,2
svd+quantization,0.0,fp16,0.5,11179129,11179132,3.6271,21.3225,88.44,1
svd+quantization,0.0,int8,0.5,11176512,11179132,3.6271,42.6375,88.43,2
svd+quantization,0.0,fp16,0.3,11178084,11178088,3.6271,21.3205,81.31,1
svd+quantization,0.0,int8,0.3,11176512,11178088,3.6271,42.6365,81.24,2
pruning+quantization+svd,0.5,int8,0.5,11176512,11179132,3.6271,42.6375,88.65,2
pruning+quantization+svd,0.3,fp16,0.7,11180152,11180176,3.6271,21.3245,90.21,1
